"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","0","Password Recovery","8","0","Recover access from the public login page","0"
"0","Authentication","0","Password Recovery","4","0","Navigate to and from password reset","0"
"0","Security","0","Session Expiry","1","0","Handle expired or cleared authenticated state","0"
"0","Authentication","0","Password Recovery","4","0","Validate reset form requirements","0"
"0","Authentication","0","Login","18","0","Open the OrangeHRM login experience","0"
"0","Authentication","0","Login","4","0","Sign in with valid credentials","0"
"0","Navigation","0","Core Modules","10","0","Open the major application modules after login","0"
"0","Navigation","0","Core Modules","2","0","Open Buzz from the side menu","0"
"0","Navigation","0","Buzz","2","0","Open the major application modules after login","0"
"0","Navigation","0","Buzz","2","0","Open Buzz from the side menu","0"
"0","Dashboard","0","Home Experience","11","0","Use the landing dashboard after login","0"
"0","Dashboard","0","Home Experience","2","0","Open Assign Leave from the dashboard","0"
"0","Dashboard","0","Quick Launch","4","0","Use the landing dashboard after login","0"
"0","Dashboard","0","Quick Launch","2","0","Open Assign Leave from the dashboard","0"
"0","Authentication","0","Login","4","0","View the login page","0"
"0","Dashboard","0","Home Experience","2","0","Filter the side menu","0"
"0","Dashboard","0","Navigation","2","0","Use the landing dashboard after login","0"
"0","Dashboard","0","Navigation","2","0","Filter the side menu","0"
"0","Navigation","0","Core Modules","2","0","Open Leave from the side menu","0"
"0","Navigation","0","Leave","2","0","Open the major application modules after login","0"
"0","Navigation","0","Leave","2","0","Open Leave from the side menu","0"
"0","Navigation","0","Core Modules","2","0","Open Admin from the side menu","0"
"0","Navigation","0","Admin","2","0","Open the major application modules after login","0"
"0","Navigation","0","Admin","2","0","Open Admin from the side menu","0"
"0","Directory","0","Employee Search","1","0","Search and reset directory filters","0"
"0","","0","","1","0","","0"
"0","Authentication","0","Login","4","0","Reject invalid credentials","0"
"0","Authentication","0","Login","4","0","Validate mandatory credentials","0"
"0","Security","0","Access Control","8","0","Protect authenticated routes from anonymous users","0"
"0","Security","0","Access Control","4","0","Block dashboard access before login","0"
"0","Buzz","0","Composer","1","0","Validate required fields for a video post","0"
"0","Dashboard","0","Home Experience","1","0","Stay authenticated after refresh","0"
"0","Dashboard","0","Session Persistence","1","0","Use the landing dashboard after login","0"
"0","Dashboard","0","Session Persistence","1","0","Stay authenticated after refresh","0"
"0","Security","0","Home Experience","1","0","Use the landing dashboard after login","0"
"0","Security","0","Home Experience","1","0","Stay authenticated after refresh","0"
"0","Security","0","Session Persistence","1","0","Use the landing dashboard after login","0"
"0","Security","0","Session Persistence","1","0","Stay authenticated after refresh","0"
"0","Security","0","Access Control","4","0","Block admin access before login","0"
"0","Administration","0","System Users","1","0","Search and reset user filters","0"
"0","Security","0","Session Termination","1","0","Prevent access to protected routes after logout","0"
"0","Navigation","0","Core Modules","2","0","Open PIM from the side menu","0"
"0","Navigation","0","PIM","2","0","Open the major application modules after login","0"
"0","Navigation","0","PIM","2","0","Open PIM from the side menu","0"
"0","Navigation","0","Core Modules","2","0","Open Directory from the side menu","0"
"0","Navigation","0","Directory","2","0","Open the major application modules after login","0"
"0","Navigation","0","Directory","2","0","Open Directory from the side menu","0"
"0","Authentication","0","Login","2","0","End an authenticated session","0"
"0","Authentication","0","Logout","2","0","Open the OrangeHRM login experience","0"
"0","Authentication","0","Logout","2","0","End an authenticated session","0"
"0","Dashboard","0","Home Experience","2","0","Open My Timesheet from the dashboard","0"
"0","Dashboard","0","Quick Launch","2","0","Open My Timesheet from the dashboard","0"
"0","Buzz","0","Composer","1","0","Validate the photo sharing modal","0"
"0","Dashboard","0","Home Experience","4","0","Verify dashboard readiness","0"
