"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6224","@regression blocks protected routes after logout","authenticated-chromium","Sun Apr 19 00:50:12 UTC 2026","passed","Sun Apr 19 00:50:18 UTC 2026","Authenticated session security","","",""
"","3673","@regression rejects an incorrect password with a clear error message","public-chromium","Sun Apr 19 00:49:08 UTC 2026","passed","Sun Apr 19 00:49:12 UTC 2026","Public login page","","",""
"","2408","@regression filters the side menu using the search field","authenticated-chromium","Sun Apr 19 00:49:35 UTC 2026","passed","Sun Apr 19 00:49:38 UTC 2026","Authenticated dashboard coverage","","",""
"","2789","@regression finds an existing employee in Directory and restores the default list on reset","authenticated-chromium","Sun Apr 19 00:50:09 UTC 2026","passed","Sun Apr 19 00:50:12 UTC 2026","Authenticated search and filter flows","","",""
"","3553","@regression opens Leave and shows its core controls","authenticated-chromium","Sun Apr 19 00:49:55 UTC 2026","passed","Sun Apr 19 00:49:59 UTC 2026","Authenticated module navigation smoke","","",""
"","3523","@smoke redirects an unauthenticated visitor to login when opening the dashboard directly","public-chromium","Sun Apr 19 00:48:55 UTC 2026","passed","Sun Apr 19 00:48:58 UTC 2026","Public access control","","",""
"","2281","@smoke shows required-field validation when the form is submitted empty","public-chromium","Sun Apr 19 00:49:06 UTC 2026","passed","Sun Apr 19 00:49:08 UTC 2026","Public login page","","",""
"","2866","@smoke shows the expected dashboard widgets and critical navigation items","authenticated-chromium","Sun Apr 19 00:49:33 UTC 2026","passed","Sun Apr 19 00:49:35 UTC 2026","Authenticated dashboard coverage","","",""
"","3530","@smoke opens the reset password page and returns to login on cancel","public-chromium","Sun Apr 19 00:49:20 UTC 2026","passed","Sun Apr 19 00:49:23 UTC 2026","Password recovery","","",""
"","3367","@smoke allows a valid user to sign in successfully","public-chromium","Sun Apr 19 00:49:12 UTC 2026","passed","Sun Apr 19 00:49:15 UTC 2026","Public login page","","",""
"","4320","@regression redirects to login when the authenticated browser state is cleared","authenticated-chromium","Sun Apr 19 00:50:18 UTC 2026","passed","Sun Apr 19 00:50:22 UTC 2026","Authenticated session security","","",""
"","2507","@regression opens the Share Photos modal with the Share action disabled until media is selected","authenticated-chromium","Sun Apr 19 00:49:27 UTC 2026","passed","Sun Apr 19 00:49:30 UTC 2026","Authenticated Buzz interactions","","",""
"","3618","@regression opens PIM and shows its core controls","authenticated-chromium","Sun Apr 19 00:49:52 UTC 2026","passed","Sun Apr 19 00:49:55 UTC 2026","Authenticated module navigation smoke","","",""
"","2842","@regression requires a username before sending a reset request","public-chromium","Sun Apr 19 00:49:23 UTC 2026","passed","Sun Apr 19 00:49:26 UTC 2026","Password recovery","","",""
"","3608","@regression opens Admin and shows its core controls","authenticated-chromium","Sun Apr 19 00:49:48 UTC 2026","passed","Sun Apr 19 00:49:52 UTC 2026","Authenticated module navigation smoke","","",""
"","5948","authenticate admin user","setup","Sun Apr 19 00:48:47 UTC 2026","passed","Sun Apr 19 00:48:53 UTC 2026","","","",""
"","3448","@regression opens Assign Leave from Quick Launch","authenticated-chromium","Sun Apr 19 00:49:38 UTC 2026","passed","Sun Apr 19 00:49:41 UTC 2026","Authenticated dashboard coverage","","",""
"","2908","@smoke renders the login page essentials and masks the password field","public-chromium","Sun Apr 19 00:49:03 UTC 2026","passed","Sun Apr 19 00:49:06 UTC 2026","Public login page","","",""
"","3609","@regression opens My Timesheet from Quick Launch","authenticated-chromium","Sun Apr 19 00:49:41 UTC 2026","passed","Sun Apr 19 00:49:45 UTC 2026","Authenticated dashboard coverage","","",""
"","2994","@regression keeps the selected admin username filter through search and clears it on reset","authenticated-chromium","Sun Apr 19 00:50:06 UTC 2026","passed","Sun Apr 19 00:50:09 UTC 2026","Authenticated search and filter flows","","",""
"","3388","@regression opens Directory and shows its core controls","authenticated-chromium","Sun Apr 19 00:49:59 UTC 2026","passed","Sun Apr 19 00:50:02 UTC 2026","Authenticated module navigation smoke","","",""
"","2591","@regression requires a video URL before sharing a Buzz video post","authenticated-chromium","Sun Apr 19 00:49:30 UTC 2026","passed","Sun Apr 19 00:49:32 UTC 2026","Authenticated Buzz interactions","","",""
"","3333","@regression keeps the dashboard accessible after a browser refresh","authenticated-chromium","Sun Apr 19 00:49:45 UTC 2026","passed","Sun Apr 19 00:49:48 UTC 2026","Authenticated dashboard coverage","","",""
"","4530","@regression redirects an unauthenticated visitor away from the admin area","public-chromium","Sun Apr 19 00:48:58 UTC 2026","passed","Sun Apr 19 00:49:03 UTC 2026","Public access control","","",""
"","3355","@regression opens Buzz and shows its core controls","authenticated-chromium","Sun Apr 19 00:50:02 UTC 2026","passed","Sun Apr 19 00:50:06 UTC 2026","Authenticated module navigation smoke","","",""
"","4749","@smoke allows a signed-in user to log out cleanly","public-chromium","Sun Apr 19 00:49:15 UTC 2026","passed","Sun Apr 19 00:49:20 UTC 2026","Public login page","","",""
