"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4607","@regression keeps the dashboard accessible after a browser refresh","authenticated-chromium","Fri Apr 17 00:49:07 UTC 2026","passed","Fri Apr 17 00:49:12 UTC 2026","Authenticated dashboard coverage","","",""
"","4433","@regression opens Leave and shows its core controls","authenticated-chromium","Fri Apr 17 00:49:21 UTC 2026","passed","Fri Apr 17 00:49:25 UTC 2026","Authenticated module navigation smoke","","",""
"","4636","authenticate admin user","setup","Fri Apr 17 00:47:49 UTC 2026","passed","Fri Apr 17 00:47:54 UTC 2026","","","",""
"","3904","@regression requires a video URL before sharing a Buzz video post","authenticated-chromium","Fri Apr 17 00:48:38 UTC 2026","passed","Fri Apr 17 00:48:42 UTC 2026","Authenticated Buzz interactions","","",""
"","4434","@smoke opens the reset password page and returns to login on cancel","public-chromium","Fri Apr 17 00:48:24 UTC 2026","passed","Fri Apr 17 00:48:28 UTC 2026","Password recovery","","",""
"","3421","@regression opens the Share Photos modal with the Share action disabled until media is selected","authenticated-chromium","Fri Apr 17 00:48:34 UTC 2026","passed","Fri Apr 17 00:48:38 UTC 2026","Authenticated Buzz interactions","","",""
"","3266","@smoke shows required-field validation when the form is submitted empty","public-chromium","Fri Apr 17 00:48:06 UTC 2026","passed","Fri Apr 17 00:48:09 UTC 2026","Public login page","","",""
"","3275","@regression redirects an unauthenticated visitor away from the admin area","public-chromium","Fri Apr 17 00:47:59 UTC 2026","passed","Fri Apr 17 00:48:02 UTC 2026","Public access control","","",""
"","4570","@regression opens Admin and shows its core controls","authenticated-chromium","Fri Apr 17 00:49:12 UTC 2026","passed","Fri Apr 17 00:49:16 UTC 2026","Authenticated module navigation smoke","","",""
"","7026","@regression opens My Timesheet from Quick Launch","authenticated-chromium","Fri Apr 17 00:49:00 UTC 2026","passed","Fri Apr 17 00:49:07 UTC 2026","Authenticated dashboard coverage","","",""
"","5039","@regression requires a username before sending a reset request","public-chromium","Fri Apr 17 00:48:28 UTC 2026","passed","Fri Apr 17 00:48:33 UTC 2026","Password recovery","","",""
"","3382","@regression finds an existing employee in Directory and restores the default list on reset","authenticated-chromium","Fri Apr 17 00:49:38 UTC 2026","passed","Fri Apr 17 00:49:41 UTC 2026","Authenticated search and filter flows","","",""
"","9122","@regression opens Assign Leave from Quick Launch","authenticated-chromium","Fri Apr 17 00:48:51 UTC 2026","passed","Fri Apr 17 00:49:00 UTC 2026","Authenticated dashboard coverage","","",""
"","5652","@smoke allows a signed-in user to log out cleanly","public-chromium","Fri Apr 17 00:48:18 UTC 2026","passed","Fri Apr 17 00:48:24 UTC 2026","Public login page","","",""
"","5270","@smoke shows the expected dashboard widgets and critical navigation items","authenticated-chromium","Fri Apr 17 00:48:42 UTC 2026","passed","Fri Apr 17 00:48:47 UTC 2026","Authenticated dashboard coverage","","",""
"","3994","@regression rejects an incorrect password with a clear error message","public-chromium","Fri Apr 17 00:48:09 UTC 2026","passed","Fri Apr 17 00:48:13 UTC 2026","Public login page","","",""
"","3436","@smoke redirects an unauthenticated visitor to login when opening the dashboard directly","public-chromium","Fri Apr 17 00:47:55 UTC 2026","passed","Fri Apr 17 00:47:59 UTC 2026","Public access control","","",""
"","4744","@regression opens PIM and shows its core controls","authenticated-chromium","Fri Apr 17 00:49:16 UTC 2026","passed","Fri Apr 17 00:49:21 UTC 2026","Authenticated module navigation smoke","","",""
"","7542","@regression blocks protected routes after logout","authenticated-chromium","Fri Apr 17 00:49:41 UTC 2026","passed","Fri Apr 17 00:49:49 UTC 2026","Authenticated session security","","",""
"","4327","@regression opens Directory and shows its core controls","authenticated-chromium","Fri Apr 17 00:49:25 UTC 2026","passed","Fri Apr 17 00:49:30 UTC 2026","Authenticated module navigation smoke","","",""
"","4243","@regression opens Buzz and shows its core controls","authenticated-chromium","Fri Apr 17 00:49:30 UTC 2026","passed","Fri Apr 17 00:49:34 UTC 2026","Authenticated module navigation smoke","","",""
"","4880","@smoke allows a valid user to sign in successfully","public-chromium","Fri Apr 17 00:48:13 UTC 2026","passed","Fri Apr 17 00:48:18 UTC 2026","Public login page","","",""
"","3852","@regression keeps the selected admin username filter through search and clears it on reset","authenticated-chromium","Fri Apr 17 00:49:34 UTC 2026","passed","Fri Apr 17 00:49:38 UTC 2026","Authenticated search and filter flows","","",""
"","3930","@regression filters the side menu using the search field","authenticated-chromium","Fri Apr 17 00:48:47 UTC 2026","passed","Fri Apr 17 00:48:51 UTC 2026","Authenticated dashboard coverage","","",""
"","5375","@regression redirects to login when the authenticated browser state is cleared","authenticated-chromium","Fri Apr 17 00:49:49 UTC 2026","passed","Fri Apr 17 00:49:54 UTC 2026","Authenticated session security","","",""
"","3629","@smoke renders the login page essentials and masks the password field","public-chromium","Fri Apr 17 00:48:02 UTC 2026","passed","Fri Apr 17 00:48:06 UTC 2026","Public login page","","",""
